Text,label
"ingenious, his work has many achievements. a true statesman is anies baswedan",Positive
"the arrival of presidential candidate bacapres anies rasyid baswedan to south kalimantan on thursday was very special for haji mansyur, chairman of the south kalimantan nasdem party's dpw regional leadership council, preparing the tail of a slaughtered cow.",Positive
id let's support anies baswedan and the president of the republic of indonesia,Positive
"the fact is that nasdem declared anies as a presidential candidate and can be registered if a coalition is formed, but the real fact is that the nasdem faction supports jokowi's government to the point that nasdem running for president is not certain, nasdem, but supporting jokowi is what is certain.",Positive
anies for president,Positive
the democratic party invites anies baswedan to determine the vice presidential candidate who will accompany him in the presidential election.,Positive
"it has been made clear that opung cebong is hot, the president of the republic of indonesia, anies baswedan",Positive
"masha allah, from sabang to emrauke, everyone supports mr. anies to become president of the republic of indonesia, i can't wait for this regime to end",Positive
"masha allah, god willing, anies baswedan will be the president of the republic of indonesia",Positive
"just smile, god willing, anies is the president",Positive
"yes, mr. anies baswedan really deserves to be the president of indonesia, prosperous citizens, continued success, mr. anies baswedan",Positive
"hope you don't have to look, wait, wait for the presidential reading, the presidential reading which is not yet clear and you still have doubts about whether mr anies likes it or not, it is clear and he is worthy of being supported by us as president of the republic of indonesia. may allah swt bless us all.",Positive
"support for anies baswedan becomes more solid, nasdem democrats and pks sign a charter of cooperation, the three-party cooperation charter is a signal that the coalition of change for unity is more firm in supporting anies baswedan as the presidential candidate of the republic of indonesia",Positive
"i'm sure i support mr. anies, the president has been nominated by you, but his standing regarding the criminal code, perppu, ciptaker, etc. how is he already a presidential candidate? you have already monitored his vision and mission, if he is the same as he is now, don't regret it.",Positive
"god's time is so familiar and friendly, the head of the dpc democratic party, sp, tangerang regency, banten province, bpk nawa said, dimyati side by side with mr. anies, the presidential candidate for the nasdem party, anies ahy, the leader of change and improvement, nasdem, pks, the democrats win, the sp democrats",Positive
bounce future leaders anies for president cebong sm buzzerrp don't ignore his brain on oon gasss pooollll for change in the motherland,Positive
"i will support mr johannes anies rasyid baswedan or mr indonesian identity politics if he wants to promise to all the people of indonesia that if he is elected president of the republic of indonesia, he will appoint mr rocky gerung as minister of religion of the republic of indonesia.",Positive
"presidential candidate anies baswedan has indeed pocketed a ticket to the presidential election, but there is still one more condition that must be met to be able to win the contest, political sociologist musni umar said that anies",Positive
"anies, i also support the voice of prayer for mr. anies to be president for the rest of his life",Positive
"i'm still enthusiastic about supporting president anies, bro",Positive
support for anies baswedan as president comes from social media activist saeful in this cool era,Positive
"limited meating discussing how to exit plan to secure the cash object if mr anies rb, god willing, becomes president",Positive
mashallah tabarakallah the people's support for pak anies rb is unstoppable as president,Positive
"id let us pray with dedication and humility, may allah swt send mas anies rashid baswedan to be president of the republic of indonesia, amen, lord, experience",Positive
"god willing, i'm sure mr. anies is president ri sir",Positive
"god willing, anies will be the president of the republic of indonesia",Positive
"asmara, god willing, anies will become president and there will be better and best things to come",Positive
"we are patiently waiting for mas anies who is able to make democracy healthy through justice, its the best, why not",Positive
"it's true that it's forbidden, according to this regime, those who understand islam know that what the fpi is doing is to carry out allah's orders, carry out the commandments of maruf and nahi wrongdoing, god willing, mr. anies, the president knows what is permissible and what is not.",Positive
"the path up will be easier. if we join hands, let's continue to support anies baswedan as president of the republic of indonesia, gaspol, friends",Positive
"anies is a leader who is loved by the people, president of the republic of indonesia",Positive
"all that remains is for the vice presidential candidate to announce it at the end. as for the presidential candidates, there are similarities in the views of the three parties in nominating anies baswedan as vice presidential candidate, said ahy in his written statement on wednesday january",Positive
anies president,Positive
"ehren, mr. anies baswedan, sir, is very friendly and loves small children, ehren feels very comfortable, i hope that mr. anies will be smooth and successful in becoming president of the republic of indonesia",Positive
"thank you, there are already high-class ebongs who pray for mr. anies baswedan to become president of the republic of indonesia",Positive
"evil efforts to thwart anies baswedan started horribly from the rejection demonstration, now the cobra has become jokowi's weapon, morning, afternoon, love, position, dream of clove, pupr ciliwung, bang messi, intel, moana, joni's promise",Negative
"idha said that the party said that anies would continue the development he was carrying out if he became president, apparently he was abroad, he still criticized the joint policy between the dpr and the executive, don't let there be lies between nasdrun and jokowi, please.",Negative
"it must be continued by the next president, therefore, don't vote for anies. jakarta has become a victim of anies' stupidity",Negative
"rejecting anies baswedan and the president of the republic of indonesia, it has been proven that all of his work is incompetent",Negative
"follow your way of thinking, which means that since the dki gubernatorial election, anies baswedan allied himself with an intolerant mass organization group, now he is running as an intolerant presidential candidate. the pu must reject anies as the presidential candidate because if anies is elected then indonesia will have an intolerant president.",Negative
pdip's doubts about presidential candidate anies' statement are only a form of rejection of anis as a presidential candidate because normatively anies must continue the program of the previous president if he is elected president. the implementation of its continuation is of course adjusted to the state's financial conditions,Negative
"anies still has the face to run for the presidential election to become governor, he failed, what's more, being president is ruined, this country is just introspective and self-aware, mr. anies, so you don't get embarrassed, embarrassed, embarrassed.",Negative
"wow, what the heck, don't let the cia documents leak, anies baswedan, who is being prepared to become president of the republic of indonesia, mahfud md, will fail in",Negative
"cebong says romance jls jls friday lots of people are taking advantage of anies, if you're not happy, why are the congregation flocking to shake hands, that's a sign that anies is really liked by the stupid cebong people who are stupid, the people want a change in life, anies, the president of cebong is automatically anxious",Negative
anies baswedan's rejection banner in ntt is included in the black campaign category thursday jokowi blacklist pdip kidult opponent rhoma cadence riska gus muhaimin resigns,Negative
"now there's a stupid midget midget who annoys anies every day because he's so loud, anies is a midget president, the bipang buzzer is cursed to be buried in the bowels of the earth.",Negative
"sane facts, anies is of yemeni descent, the indonesian presidential election must be a native indonesian, remember native indonesians or indigenous people, don't vote for yemenis nasdrun observers",Negative
"anies doesn't have anything and it's nothing. surveys always lose, but but the stupid bastards in the school are really scared, dad, anies has no competition for the president, just don't be like a greedy person.",Negative
kadrun admits himself that they are people who experience moral decadence and are not intellectual because kadrun appeared during jokowi's tenure as president and kadrun's stupidity will continue to grow until later and will continue to grow even further if anies loses.,Negative
"dumdum, you're so stupid that ahok is currently still serving at pertamina. why are you attacking anies and afraid of anies becoming president? you don't have a job anymore, so you're really looking for money, that's a joke, jiiiirrr",Negative
