Text,label
bae sonde bae bapak ganjar lebe bae is passionate about sharing love mak gangar ntt doc canvasing mak gangar ntt ntt tts soe taubneno info,Positive
"thousands of ganjar volunteers and clerics in malang offered prayers together to support ganjar to become president, ri pranowo",Positive
"declaration of support for ganjar pranowo, president of yogyakarta special region, ganjar pranowo",Positive
kediri lbs i hope mr ganjar pranowo becomes president,Positive
"the online motorcycle taxi association of sidoarjo and surabaya, which made a declaration supporting ganjar as a presidential candidate, confirmed that around the motorcycle taxi operators in sidoarjo and surabaya will choose ganjar as the next president, amen.",Positive
bazaar activities carried out by mak ganjar north sumatra to welcome mother's day,Positive
"east java's young kiai supports mr ganjar pranowo, president pranowo",Positive
"lumajanh village residents support ganjar pranowo, president of yogyakarta special region, ganjar pranowo yogyakarta pranowo",Positive
"hundreds of ulama from jambi province declared ganjar pranowo as president of the republic of indonesia. in addition to expressing support, the ulama also prayed together for indonesia's bright future.",Positive
"the results of the meeting for the ntt community presidential candidates at the top are again president jokowi, second is the name of governor ganjar pranowo and third is followed by mr. airlangga hartarto.",Positive
"of course, ganjar volunteers will remain loyal to support mr. ganjar pranowo, the leader who will continue the leadership relay of president jokowi who has the same vision and mission towards a golden indonesia.",Positive
ganjar pranowo is still the figure with the top electability in the presidential candidate market. his electability has also started to increase since the beginning of the year. children are not ready. rubicon actor bu risma david echelon iii,Positive
ganjar pranowo president bahar ria sw ancika arbani physical education teacher giselle monday menpora,Positive
"it's not just central java, in general the indonesian people are also very satisfied with the performance, way of working and leadership style of ganjar pranowo. this is what makes the majority of indonesian people want gangar to become president of the republic of indonesia.",Positive
governor of central java ganjar pranowo again stated his readiness to become a presidential candidate. this was expressed by ganjar in a special interview with azizah hanum in the point of view program which was broadcast on sctv coverage,Positive
"bumn minister erick thohir has a big influence on the presidential election constellation. erick thohir is considered the strongest figure to accompany the governor of central java, ganjar pranowo, as vice president in the united indonesia coalition.",Positive
ganjar's concern for regional culture has inspired north sumatra millennials to vote for presidential reward,Positive
it's really cool that the pair erick thohir and ganjar pranowo are the most superior among the other pairs where both of them have received the blessing of president jokowi and have high electability to take part in the contest.,Positive
yelling and shouting with mak ganjar sumsel to share goodness in the banyuasin area,Positive
opening ganjar pranowo festival gus khayat hopes that at the beginning of this year our steps will begin with privileges so that we can lead pakganjar pranowo to become president of indonesia in the future,Positive
"support mr ganjar pranowo, president of jogja pranowo",Positive
mak ganjar sumsel's canvasing activity shares goodness in the banyuasin area,Positive
prayers and prayers are always offered by ganjar's volunteer friends in achieving the dream of ganjar pranowo becoming president of indonesia in the future.,Positive
"ms. mega said, it seems like a suitable person to continue the duties and development of mr. president jokowi. later, this person will force him to take his index finger and point to the photo of mr. ganjar pranowo. mr. jokowi said he is ready, ma'am, that's right, my good friend is very worthy of continuing.",Positive
"the support for mr. hamzah is getting stronger. hamzah, the administrator of ppkbm assolahiyah, karawang district, west java, also supports mr. ganjar pranowo to become president next year. extraordinary awards from the public for his performance so that he is trusted to advance.",Positive
"pak gangar is ready to help cianjur earthquake victims and fully supports ganjar pranowo, the presidential candidate",Positive
ganjar advances as president. a flood of support will come for the intelligent ganjar pranowo,Positive
"greetings from one soul to mr ganjar pranowo, continue the work of mr president jokowi, next president, greetings of true brotherhood for a glorious indonesia",Positive
mr. ganjar is still president of the republic of indonesia,Positive
"during the struggle, the opportunity for ganjar pranowo to become a presidential candidate through the pdp was almost closed, he was trying to meet with megawati, but that wish never came true, president jokowi realized that there was little chance of the pdip carrying the candidate for pranowo.",Positive
young kiai of east java declares support for ganjar pranowo president of surabaya young kiai of east java in lamongan declares support for ganjar pranowo to become president thousands via,Positive
des gangar is committed to continuing to capture aspirations from all levels of society to encourage the realization of president's ganjar,Positive
"chotimah cuuuoccookk if you become president in the year i hope you get elected, mr ganjar pranowo",Positive
"poltracking survey simulates the strongest duet for the indonesian poltracking survey institute released the results of a survey related to the simulation of potential presidential vice presidential candidate pairs, ganjar pranowo & erick thohir percent",Positive
"gift for ganjar pranowo for happy birthday to father ganjar pranowo, president of the republic of indonesia, year and happy youth oath day to the center",Positive
support for ganjar pranowo to become president of the republic of indonesia,Positive
"support for ganjar pranowo continues to flow from various corners of the region, this time no less than small fishermen on the north coast of jakarta declaring support for ganjar pranowo as president.",Positive
"ignorant romance is a matter between the two of them, whether they want to be or not, what is clear is that our president is ganjar pranowo",Positive
"ganjar pranowo coastal fishing community, south sulawesi festival & presidential declaration gangarmenang fishermenprosperous",Positive
"one of the biggest sins of ganjar pranowo was burying the dream of the country's children to be able to play in the world cup, therefore i am sure that he will not become president in the future",Positive
ganjar's electability has always been superior to pranowo becoming president,Positive
"unite our determination and goals, ganjarist volunteers are optimistic about ganjar pranowo president",Positive
"as, don't ever mention ganjar campaigning if you've never seen gangar being shouted at by the president. never seen gangar carrying a bus. never seen gangar talking about the election. never seen gangar accompanied by his party when visiting the regions.",Positive
"halal certification workshop and joint prayer for mr ganjar pranowo, president of indonesia. in this series of activities, we handed over assistance to the talim council as an institutional inventory",Positive
pak ganjar's supporters believe that the reward for the president will definitely come true,Positive
ganjar was great and firm and got support from ganjarist deltas and all elements of east java society to become president,Positive
"wow, it's really exciting to declare support for the president's reward for ganjar pranowo",Positive
"as a layman, i would like to know about mr ganjar's popular works as a reference for choosing president next year because there may be a candidate",Positive
siaap lek kacung i'm sure the people of the republic of indonesia also really support and elect pak ganjar pranowo to be president of the republic of indonesia in,Positive
"hmmmm, it's becoming clearer where president jokowi's support will go in the next presidential election. senior pdp politician panda nababan said president jokowi wants to pair ganjar pranowo with erick thorir if the pair is supported by pdip and kib, god willing, they will win.",Positive
"but mr. jokowi will be replaced as president, mr. ganjar pranowo, an immigrant, is planning to be elected president in the next year.",Negative
"the leadership styles of the governor of central java, ganjar pranowo and the minister of state-owned enterprises, erick thohir, have similarities, namely hardworking and professional, therefore, ganjar and erick thohir should be side by side in our presidential election.",Negative
"pak ganjar pranowo's electability is increasingly unstoppable. this proves that the people want the figure of the governor of central java, ganjar pranowo, to become president of the republic of indonesia. other candidates are increasingly far behind.",Negative
"no anis, no ganjar, the figure who represents the anger of others will become president of indonesia",Negative
there is no doubt about ganjar pranowo's achievements in becoming pranowo's president,Negative
it is indeed time for mr ganjar pranowo to run for the presidential election and become president of the republic of indonesia because he is the right figure to lead this country.,Negative
"mak gangar ntt for pak ganjar president, follow us on",Negative
srikandi ganjar north sumatra together with her make up artist daughter will conduct a make up class activity with the theme eid mubarak make up look,Negative
mak ganjar brebes,Negative
"the caliphate supporter group certainly doesn't want ganjarenny's position as president, now psi has also removed gangaryenny's embedded tweet as a presidential candidate on twitter and in concert there is a buzzeer group that is carrying out negative comment attacks on gp social media.",Negative
padila is not surprised that so many people really want mr ganjar to become president of the republic of indonesia next year,Negative
"ganjar pranowo mania volunteers will be disbanded ahead of the presidential election stage for the presidential election, gp mania immanuel ebenezer said the disbandment would be carried out officially on thursday in jakarta. percent does not support ganjar anymore, immanuel said",Negative
this is the moment where ganjar's name is mentioned as president of indonesia at the pdp anniversary celebration. the right year to elect ganjar syarif,Negative
henna activities and nail art classes held by srikandi ganjar dpw south sulawesi with the nail art & henna community in maros regency,Negative
"mak ganjar east java volunteers continue to hold various activities to introduce the figure of ganjar pranowo, president",Negative
ganjar is designed to become president in the komaruddin ujang i have predicted,Negative
"meeting president jokowi at the palace, ganjar remained silent when asked about the presidential candidate",Negative
"preett, it's impossible, that's why president jokowi is from the ruling party, the pd event in indonesia doesn't agree with gangar, he's already signed the agreement, why did he suddenly refuse ahead of the implementation? slap mr. jokowi and it's a loss for indonesia, what's going on with the petty presidential election? no ganjar",Negative
pan hinted at pairing ganjar pranowo and erick thohir in the presidential or presidential elections,Negative
"mr ganjar pranowo's hut with mal gangar and mak gangar's foster children in tapong bone village, south sulawesi",Negative
"ah, for example, mr. ganjar's president, then you can also prepare for mr. gangar's preparations",Negative
"they are the two who deserve to be president and vice president, ganjar pranowo and erick thohirinsya allah",Negative
"hongg, i have no doubt that mrs. megawati will definitely nominate mr. ganjar pranowo for the presidential nomination this year to replace mr. jokowi as president of the republic of indonesia.",Negative
the activity held by srikandi ganjar south sulawesi dpw is planting mangrove seedlings in the lantebung mangrove tourist area,Negative
