Text,label
"i'm an alumnus when i see this photo, i remember how i fought with my friends all the way to plosok to win prabowo and fight against the slander from abujandaeh, even now i'm a schoolgirl, one of which i don't want to support prabowo",Negative
pak prabowo will not want to protect people who break the law,Negative
"insmyname god willing, we will see pak prabowo again as defense minister after he is inaugurated as president of the republic of indonesia, god willing.",Positive
"in the presidential election, the indonesian people sincerely voted and supported him, but prabowo cruelly betrayed his voters and left his supporters in prison while he enjoyed being licked here and there.",Negative
"prima mpu inismyname fahnoor my family and i fully support prabowo as the presidential candidate readthe presidential candidate will show it later, of course",Positive
the change means that the president has changed to prabowo's deputy presidency,Negative
the meaning behind prabowo and gibran's meeting in solo jokowi morning afternoon love position dream clove pupr ciliwung bang messi intel moana promise joni,Positive
"cak imin's steps are heavy if you want to accompany prabowo in the presidential election, sad news, heru crashed into ahok's thigh, ciliwung, kw's daughter cares about women, joni harvest's promise, depok, bang messi, momota, aji kusuma, the last of us",Positive
"prabowo admits that he is suitable, seeing that gibran has a chance of winning the gubernatorial election of dki or central java, sad news that heru hit ahok's thigh, ciliwung, kw's daughter cares about women, joni harvest's promise, depok, bang messi, momota, aji kusuma",Positive
"reportedly moving forward with prabowo's reward, just wait for developments. the sad news is that heru hit ahok's thigh, ciliwung, kw's daughter cares about women, joni harvest's promise, depok, bang messi, momota, aji kusuma, the last of us",Positive
"accompanied by gibran in solo, jokowi's support for prabowo is getting stronger this morning, the sad news is that christine hakim washes her thighs, unloads baduy water spinach, harvests duckbill",Positive
abu janda is confident that prabowo subianto will become the republic of indonesia's president. turns out there are signs this morning. christine hakim washes her thighs and unloads baduy water spinach. harvests duckbill.,Positive
prabowo blesses gibran to run for regional elections in dki or central java. morning sad news,Positive
"gerindra has not confirmed that prabowo and cak imin will run for the presidential election in the afternoon. jokowi squats, washes his hair, unloads, is strong, maruf, his junior high school friend, rscm, jin hyung's attitude, christine hakim's generosity",Positive
"jokowi is often mentioned as abu janda, he is sure that prabowo is the president of the republic of indonesia. in the afternoon, jokowi squats, washes his hair, unloads, is strong, maruf, his junior high school friend, rscm, jin hyung's attitude, christine hakim's generosity.",Positive
"jamiluddin ritonga sekber gerindrapkb prepares prabowomuhaimin's declaration at noon jokowi squats, washes his hair, unloads, is strong, maruf, junior high school friend, rscm, jin hyung's attitude, christine hakim's generosity",Positive
bet idr million abu janda openly supports prabowo subianto and wins in the presidential election,Positive
arriving at seber gerindrapkb in one car prabowocak imin shouted at both president jokowi holding a banana hary tanoesoedibjo one century nu chinese kingdom sukajadi rscm christine hakim kidult,Negative
rocky gerung jokowi hands over bin functions to prabowo to monitor megawati jokowi dodo chinese sugar has angpau kunlavut village head born in rajab wr ginting axelsen,Negative
"prabowo's subordinates were mutated by commander yudo margono jokowi, china's sugar dodo has an angpau, kunlavut village head, born in rajab, wr ginting axelsen",Negative
"kostrad commander, who was a minister from seoharto to prabowo jokowi, is the sugar of china, has an angpau, kunlavut village head, born in rajab, wr ginting axelsen",Negative
"alluding to prabowo and bin rocky gerung said that president jokowi must be impeached. jokowi is a chinese sugar dodo. the kunlavut village head's angpau, born in rajab, wr. ginting axelsen",Negative
jokowi's food estate is considered problematic and will be investigated by the special committee but prabowo asks that it continue,Negative
"cak imin becomes a wild duck, rocky gerung, prabowo subianto's value is safer duet with puan maharani, strong maruf, bring my girl morowali's soul mate la nyalla cak nun, congrats fajri park jimin",Positive
"i've long admired the figure of prabowo, the creator of the song ojo, compared to us, he jokes a lot so he's strong, maruf brings my girl morowali's soul mate, la nyalla cak nun, congrats fajri park jimin",Positive
kpk summoned again secretary general jokowiprabowo underwent examination for the third time this morning jokowi mojok liga rungkad pssi open po arema saudi arabia fajri,Negative
rocky gerung suggests prabowo follow in nasdem's footsteps,Negative
praise prabowo ustaz dasad latief where are the officials giving teenagers to the mosque morning jokowi's car crashes into a mega durian pdip kidult friday the th bangladesh pssi rungkad,Positive
coalition for change is still in flux reward versus prabowo benefits pdip and mega lizard palace pdip burger kairi fajri daddies opponent,Positive
prabowo between the maelstrom of the presidential election and the betrayal of ferry irawan kdrt venna melinda ginger rhoma rhythm blacklist binus gumball beckham lee zii jia minions kidult ciro,Negative
"if the people want indonesia to change for the better, vote for anies baswedan, but if the people want indonesia to remain as it is now, maybe even worse than now, vote for prabowo cs and his cronies.",Positive
"there is no official presidential candidate yet apart from anies baswedan. come on, let's survey who is your preferred presidential candidate? anies baswedan retweet like prabowoganjar comment psgp",Positive
"enough to support prabowo as team leader twice, even though at the regional level now i support anies baswedan for president of the republic of indonesia, god willing, istiqomah",Positive
"doctor tifa as soekarno's blood, puan should be vice presidential candidate for anies or prabowo morningg jokowi gene pharaoh in raffi's dream ahmad richard eliezer kesambet sambo jasuke playstore",Positive
"buzerr, like you, the one who is giving up hope is that the president is prabowo, not anies",Positive
puan anies ganjar khofifah cak imin airlangga ahmad heryawan kang emil ahy has all been called ideal for prabowo's vice presidential candidate. this is an indicator that prabowo is most suitable to be president of the republic of indonesia.,Positive
"now there is a lot of buzz between anies and prabowo, there are even some who are bringing up the agreement between prabowo and anies, if they were just presidential candidates, who would you choose, marm?",Positive
"we pray that in the end pak prabowo and gangar will support pak anies as president of the republic of indonesia, amen",Positive
"used to support prabowo, now i'm moving to anies. many of my volunteer friends who used to support prabowo are moving to anies in my area. god willing, anies is the president and prabowo will only extend his eternal presidential record.",Positive
"let's see whether prabowo and his supporters will be willing to support anies when anies becomes president. that digital trail is sad, bro.",Positive
"that's great, mr. president, the pdp era is over because it will be a duel between prabowo vs. anies, pdip anak onion",Positive
"abdillahtoha, regardless of whether he loses or wins, everything has been written in lauhul mahfudz, whether anies prabowo or puan is elected, what is important is that the country, if the president does not get involved in the contestation of the presidential election, is simply present with the power of his institutions to ensure that the presidential election takes place honestly and fairly.",Positive
"look, isn't it ganjar anies or prabowo subianto? the president's tarot expert is of javanese descent and likes to wear poskota hats.",Positive
"fahnoor inismyname prabowo is fickle and has no stance. supporting prabowo during the presidential election is more than enough, now is the time to support the one who won't easily turn right, anies baswedan, next president of the republic of indonesia",Positive
