Text,label
"prima mpu inismyname fahnoor my family and i fully support prabowo as the presidential candidate readthe presidential candidate will show it later, of course",Positive
"enough to support prabowo as team leader twice, even though at the regional level now i support anies baswedan for president of the republic of indonesia, god willing, istiqomah",Positive
"governor of jatengganjar pranowo wins over minister of defense prabowo subianto and anis in the latest survey of presidential candidates conducted by political indicators. people are now smart enough to choose their presidential candidates based on performance and a clean track record, not those who are incompetent to work like anies",Positive
"vr, god willing, one of the figures like anies prabowoganjar will become president and allah swt has destined him for a safe and peaceful presidential election, aamiin",Positive
"it's not a reward, especially since anies abu janda is sure that prabowo will become president if he misses",Negative
indicator survey ganjar prabowo and anies are competing jakarta edunewsid governor of central java jateng ganjar pranowo is still in the top position in the presidential candidate market while in second place is the name of the minister of defense,Positive
"accompanied by gibran in solo, jokowi's support for prabowo is getting stronger this morning, the sad news is that christine hakim washes her thighs, unloads baduy water spinach, harvests duckbill",Positive
prabowoganjar pdipnya who was angry prabowoimin pdipnya who was angry prabowopuan frog was the one who was angry and continued until anies was inaugurated as president,Positive
"there is no war against prabowo, he is still walking in the place where pranowo's reward is, anies is back, i have to play latolato, i will be president, believe in me, your life will be happy",Negative
"let's wait a moment, hopefully the presidential election will give birth to a president who can make this country better, not anies ganjar or prabowo, but a figure of the caliber of pak harto, bravo indonesiaku",Positive
there are those who predict that the capital will not move but will become the center of the largest economy and the presidential candidate will not be anies prabowo or ganjar but only the president knows that the key is with you.,Negative
"i'm an alumnus when i see this photo, i remember how i fought with my friends all the way to plosok to win prabowo and fight against the slander from abujandaeh, even now i'm a schoolgirl, one of which i don't want to support prabowo",Negative
who do you vote for president erlangga ganjar prabowo puang maharani emil erick thorhir anies baswedan jokowi total votes cast your vote click the link,Negative
"this positive assessment was actually conveyed by the political opponents of prabowo and ganjar, namely the general chairman of the nasdem party surya paloh who has nominated anies baswedan as a presidential candidate in the presidential election.",Positive
anies prabowo is president,Negative
chairul ansari explained four things that caused prabowo subianto to be ahead of ganjar pranowo and anies baswedan in prabowo subianto's presidential election stock market survey.,Negative
vr calm down everything will be beautiful in time anies baswedan ganjar pranowo puan maharani prabowo will be emblazoned on the presidential candidate,Positive
"tv doesn't leak that pak jokowi will support anies to become president of the republic of indonesia, so don't support pak prabowo or pak gangar, this is just a leak, you know?",Positive
"anies prabowo punganjar, if you want to be president, register first with the kpu when they say that the president's name is halu",Positive
coalition for change is still in flux reward versus prabowo benefits pdip and mega lizard palace pdip burger kairi fajri daddies opponent,Positive
"that's great, mr. president, the pdp era is over because it will be a duel between prabowo vs. anies, pdip anak onion",Positive
who is most worthy to be president of the republic of indonesia for the period of anies rasyid baswedan prabowo subianto ganjar pranowo total votes cast your vote click the link please forward to the group and your friends ok?,Negative
"ipo survey: anies leads ganjar and prabowo, ahy's favorite vice presidential candidate. indonesian political opinion survey institute ipo released the results of a survey on the electability of presidential candidates. the result is that anies baswedan is at the top, followed by ganjar pranowo.",Positive
"ahead of the presidential election contestation in the upcoming presidential election, the electability of the general chairman of the dpp gerindra party, prabowo subianto, is said to be far superior to ganjar pranowo and anies baswedan prabowo subianto.",Positive
kpk summoned again secretary general jokowiprabowo underwent examination for the third time this morning jokowi mojok liga rungkad pssi open po arema saudi arabia fajri,Negative
"cak imin becomes a wild duck, rocky gerung, prabowo subianto's value is safer duet with puan maharani, strong maruf, bring my girl morowali's soul mate la nyalla cak nun, congrats fajri park jimin",Positive
"isi denny ja the hottest issue heading into the presidential election is the question of continuing jokowi's legacy or the issue of change, there is a presidential candidate who has the highest electability, namely ganjar pranowo prabowo subianto & anies baswedan",Negative
"smrc survey ganjar is increasingly popular, ahead of prabowo and anies, my choice for presidential candidate. it's certain that the majority of indonesian people are united in supporting pak as president of the republic of indonesia. yes, no, sir.",Positive
"the wild boars are pekokwkwkwk, you don't want to vote for anies or prabowo in the presidential election tomorrow, it's stupid, the lawong jokowi is finished, we're happy to be president, anies or prabowo, boars want to commit mass suicide, please let's facilitate it.",Negative
"let's see whether prabowo and his supporters will be willing to support anies when anies becomes president. that digital trail is sad, bro.",Positive
"i am a papuan child who really fully supports mr. prabowo subianto because the father who is worthy of being president of the republic of indonesia, anies baswedan, is not yet mature in leadership, so anies baswedan is not worthy of being president, ganjar pranowo is also not worthy of being president.",Positive
"inismyname with gerindra's son fahnoor, mr. prabowo, good, mr. anies, good, mas ahy, good, i hope one of them becomes president",Positive
